id,calificacion,caracteristica,imagen,nombre,juego_id,puesto,total,valor1,valor2,valor3
165,NULL,"Sin descripción.",Emilia_x-d18d-156~2.png,Emilia,1,30,86.7,90,87,85
166,NULL,"Lina - hermana de Ain",P_x-d5d-14~2.png,Shani,1,3,98,90,100,100
167,NULL,"Sin descripción.",Lilie_x-c3_133~2.jpg,Lilie,7,89,76.25,100,90,55
168,NULL,"Sin descripción.",Ashley_x-c3_91~2.jpg,Ashley,7,139,60.5,100,90,20
169,NULL,"Sin descripción.",Rosa_x-c1_181~2.jpg,Rosa,7,114,70.5,100,80,50
170,NULL,"Sin descripción.",Jane_x-c1_311~2.jpg,Jane,7,124,66.75,100,95,30
171,NULL,"Sin descripción.",Kelly_x-c3_341~2.jpg,Kelly,7,69,79.9,100,76,74
172,NULL,"Sin descripción.",Olivia_x-c1_249~2.jpg,Olivia,7,35,85.55000000000001,100,87,78
173,NULL,"Sin descripción.",Linda_x-c4_135~2.jpg,Linda,7,33,86.5,100,100,70
174,NULL,"Sin descripción.",Maria_x-c2_129~2.jpg,Maria,7,20,89.25,100,95,80
175,NULL,"Sin descripción.",Trixie_x-c6_105~2.jpg,Trixie,7,145,58.75,100,85,20
176,NULL,"Sin descripción.","Deborah_x-arrival (3)~2.jpg",Deborah,2,37,85.2,80,100,76
177,NULL,"Sin descripción.","Sarah_x-day4 (61)~2.jpg",Sarah,2,53,82.6,80,90,78
178,NULL,"Sin descripción.",Selene_x-i184a~2.jpg,Selene,9,136,61.75,60,65,60
179,NULL,"Sin descripción.",Molly_x-i90~2.jpg,Molly,9,75,79.3,60,83,85
180,NULL,"Sin descripción.",Annie_x-i4321~3.jpg,Annie,9,119,68,60,70,70
181,NULL,"Sin descripción.","Sra. Collins_x-i720~2.jpg","Sra. Collins",9,36,85.25,60,100,85
182,NULL,"Sin descripción.",Pandia_x-i3959~2.jpg,Pandia,9,116,69.1,60,68,74
183,NULL,"Sin descripción.","Esmeralda_x-day4 (325)~2.jpg",Esmeralda,2,46,83.85,80,100,73
184,NULL,"Sin descripción.",Sia_x-ch5s3m-85~2.jpg,Sia,14,72,79.5,100,80,70
185,NULL,"Sin descripción.",Giselle_Screenshot_2025-09-03-10-10-20-791_returningtomia.hotzone18.com~2.jpg,Giselle,12,12,91.5,80,100,90
186,NULL,"Sin descripción.",Grace_Screenshot_2025-09-02-07-40-06-343_returningtomia.hotzone18.com~2.jpg,Grace,12,95,75.5,80,80,70
187,NULL,"Sin descripción.",Isla_Screenshot_2025-09-03-21-40-22-109_returningtomia.hotzone18.com~2.jpg,Isla,12,21,89.25,80,100,85
